owner,burns
0x90f64e01ffae16490aefe03c8ed7dab6c66198c3,1
0xbcf03166d5609df19b0c0c1b1659966cbb0ca5d9,1
0x64ddfed821cf000811060c04b5741f8a77ac30d1,1
0xee093ef21fd4fcf06213259b8c30b721db895baa,1
0x1157e6cccb2d942cb0c7ae135fd2e9fc0c6c8195,1
0x6e3bdf8a2a90f7214f7561f6f8405eea5e972eb0,1
0x402af21e29c97cf5bacdd0e92915cbf2b95ec327,1
0x2aaa07a0a722ab93a27183277f5e92d50fc248f1,1
0x41d6f82de64abbfe963a1483e6ae6e0b82f6e4e0,1
0x3d2f078cdd5cd462910f80ac385a3a2fc34c27b4,1
0xaaf39036a861d4dfc1b79c63de634ea86a16d5eb,1
0x45cacdea49189c8b2b3ceb8184a2671520b19b00,1
0x9fcbcf7ba93ca69c2e5c0e5ee730cf53de134dfa,1
0x6702ff8df61df2555acba8756211c74b9f458367,1
0xe25517708ba2f3411a62d9392bdc0fabda286fea,1
0x53fbe69de8c69cce68b453717006fddad609282c,1
0x4b6a535dfbbd7bc4618f002cd5441602f6004896,1
0xd888267d3884f98768da657aa9d899090bdf5485,1
0x36bd061de34d98e2fdfc471ce4a5091f09ef0f9a,1
0xba375d813e26cf0426b39ad2f4f6f90faddf5e4b,1
0x9e65d178cf5bd4661fe29e45d85a592837e81d23,1
0x94edb1c9a040b705f344713f204399c68fe207bb,1
0x8af621841deb32b013d9dfac0dec68b8a6935e2c,1
0x90655353385b4e8b83c89701f795956acbd2c9b9,1
0x1d633ebe68deb8ad94033364a25f3a71778f4127,1
0x0c859504b9569987eb3bd3c67c7978b95d773d44,1
0x3df29fa0cc467331980fab784bfb03505c779293,1
0x60b5aebfcf03d293cc2bbc9371fb51dea55c7339,1
0x4adee45350cc3e9c0d03a99b41111d6069454739,1
0x88e27c31f93090fa1d433defe6897709027df91f,1
0xe03d7cb5e146e7f67c5da6bd81d7252b2d6eea09,1
0x9e005ea686d99febaedd8bdbf3440c15233c4b34,1
0xba50b0fbc91c8b26cc0c16bbc3703e27fecc6896,1
0x94f1c35e0173f94acc9b6320253949c2358cfede,1
0x9e810a0966cf3a8ed531020cfd5159e02a2102cb,1
0xc18595048d952700eb89da0c73ee89be0b106c3b,1
0xb12b6432476293e70e07e1efebbd233c61f1063a,1
0xe26be241b7d09a68e7c0d186d6aa20966c5f7f62,1
0x93bbcf3310771090e88f19057c940524bb43bbba,1
0xb37790f1e62e0f1d0cd8af52970fb41ed8f7eea0,1
0x96f8b4ab8a02abdc4218ed85f9cc9aedabfae278,1
0x7dd7b12bbd948a52a319a3bfe51bacf7a5af7f75,1
0x01117e94f863acafb8f0db5c05f5cb58a20e16a8,1
0xda2e6e221deaaf557c50d50c4a888c7735b9d5a9,1
0x69be4b80090d3e642d1d3b30ba40c790369c0509,1
0x7ae75fa86212522399d36a00ca88f88c84580ceb,1
0xf34196597df209a04fc92b97071dcaabbc63f0e8,1
0x880b448b1f804d05903ac2e57b5a0edb1c001f91,1
0x82b99f9d88dcfbd1936d08eef8d3d97f246915f7,1
0xd97c71497887e21cd650eae00e140ffb06da6239,1
0x830f79bf3a95ab5033a2523b3eee648028b8287e,1
0x2672874f8da0a8c723459713c50adbfea4045a4f,1
0xbba8fbef8f1203f511fe714d601882c005797786,1
0x0c2e564a343585547de7cc60aba7619d7efa4322,1
0x1389c9d95954649a265cd175815e98f3a02a32aa,1
0x892cec5232c3213b179569d1feb7ea2af725a110,1
0xb16d8f3c1bbaadc4111bfd7a1361341afb35e004,1
0xbbe6c07c5dc0ef4cc5293b2747da2c606f10f46e,1
0x4943bca6d1ec3191e9fa95acfa5d123b22d1b823,1
0x229659f13bd23b5212e85472ee12946d0d79c66b,1
0x9da52a485062df0f23310ef3af3cea34278c69b5,1
0x22ced6f96fbf63e2dc857a910bcae955429de568,1
0xb181ac487f601a6bd6a09d7cb13e4e315a694176,1
0x6f077c76664b5f9f2c2bbe5d4d85873348baeffe,1
0x47b20272ebee4233aad387dd88aa80ddaf55032b,1
0x16edb5eb8b98d39bf75ea22339a96b304d775d68,1
0x9362d131a21aefc4fefae87141974fe4b80720e7,1
0x0fe64b654aba1de411a2ec912f8b383302cecd55,1
0xf0d21d9475b047e12fa710659a65e85cd31add57,1
0x8f36085e03f089f3ab3e563bd5b61189fc3a81a1,1
0x130876dd70130b3358f1f1336e552536045746bf,1
0x34427072de07292302a80ed3d26994ee79aba9a8,1
0xad54590c9840dd5d426a9af1d77aa2eaf6caf54b,1
0xed5c3f6779b9e6cf80c0761f7192d9cf40e0d7af,1
0xf631f45e0786a1f3e074fa1063de48d001dbaa9a,1
0xfbbe05954c6b138999548171c272a1b109d89471,1
0x026514e83e2baa6f13fe897994d762499c971e4a,1
0x7c24d80f5364743520be4a5d02e93081ee70824c,1
0x07587c046d4d4bd97c2d64edbfab1c1fe28a10e5,1
0x481f30c4aac493ba28a00e3507dbb1f23ba1ef9a,1
0x044c77d4f9d3cc3c057f19a5528dbf8ee641be69,1
0x3730aade740a8ac5aec7533f029fcf985ebbc9df,1
0x7f85cf44e446a4b1aace2a28774e88cd6d4e3441,1
0x8ddca55a69842d9ea1ac039dc623f747c8ef6438,1
0x942ccd0b82f94ec1bbf4eda6fa9d032982b02cb6,1
0xb5378352ffd588e8484e01a1fab6644040fe636c,1
0xceb232454c774c79c91e54b6c695447e2300d883,1
0xa85c2b0d2da0cb25bac4e4b23588356c077c133a,1
0xa888b888c89c01d90cb9ac12503bcb177e157d64,1
0xfb04082970c9f6a355007438442a9eb660d0a73d,1
0xc291746643cf54f53c35a5ef8c598713075a9ac7,1
0x7f1a6d1c6d065b1f4c8ab0279c6d665b8dbf3995,1
0x34b31ce373741c3631d838264c5bf5501cea1b4c,1
0xfef764d7ed4ba535f2d868816bfc43545b6470ca,1
0x289e2652d9597a79dc73c0379421cc6daddb771a,1
0x42e19e3a352eeab0cdcb0f590d2c358d85ae858b,1
0x283d34b2fbce47a00c94a4335b3dcd2275400bf3,1
